temperature,radius,abs_mag
3068,0.17,16.12
3042,0.1542,16.6
2600,0.102,18.7
2800,0.16,16.65
1939,0.103,20.06
2840,0.11,16.98
2637,0.127,17.22
2600,0.096,17.4
2650,0.11,17.45
2700,0.13,16.05
3600,0.51,10.69
3129,0.3761,11.79
3134,0.196,13.21
3628,0.393,10.48
2650,0.14,11.782
3340,0.24,13.07
2799,0.16,14.79
3692,0.47,10.8
3192,0.1967,13.53
3441,0.351,11.18
25000,0.0084,10.58
7740,0.01234,14.02
7220,0.011,14.23
8500,0.01,14.5
16500,0.014,11.89
12990,0.00984,12.23
8570,0.0097,14.2
7700,0.0128,14.47
11790,0.011,12.59
7230,0.013,14.08
39000,10.6,-4.7
30000,6.3,-4.2
15276,7.2,-1.97
9700,2.89,0.16
5800,0.9,5.05
8052,1.8,2.42
6757,1.12,2.41
6380,0.98,2.93
5936,1.106,4.46
5587,0.99,5.03
3826,19.0,-6.93
3365,23.0,-6.2
3270,88.0,-6.02
3200,17.0,-7.22
3008,25.0,-6.0
3600,29.0,-6.6
3575,45.0,-6.78
3574,89.0,-5.24
3625,84.0,-6.74
33750,26.0,-6.1
3490,1520.0,-9.4
3750,1260.0,-7.63
3834,1183.0,-9.2
3749,1648.0,-8.05
3650,1324.0,-7.79
3450,1349.0,-11.75
3660,1673.0,-11.92
3450,1284.0,-11.28
3752,955.0,-11.24
3535,1546.0,-11.36
3341,0.057,16.23
3432,0.19,16.94
2983,0.094,16.09
2835,0.0918,16.96
2935,0.116,18.89
3295,0.132,17.13
2945,0.093,18.34
2817,0.0911,16.45
2774,0.118,17.39
2871,0.12,19.43
3345,0.273,12.3
3607,0.38,10.12
3304,0.18,13.2
3150,0.35,11.94
3550,0.291,10.89
3180,0.35,11.76
2890,0.24,13.46
3342,0.307,11.87
2621,0.098,12.81
3158,0.161,13.98
7100,0.012,14.09
10574,0.0092,12.02
8930,0.0095,13.78
17200,0.015,12.45
14100,0.0089,12.17
9675,0.0109,13.98
12010,0.0092,12.13
10980,0.0087,11.19
13720,0.00892,12.97
19860,0.0131,11.34
5300,0.91,5.49
4526,0.865,6.506
4077,0.795,6.228
4980,1.13,4.78
9030,2.63,1.45
11250,6.98,-2.3
5112,0.876,4.68
7720,1.34,2.44
12098,7.01,0.02
36108,10.2,-4.4
33300,12.0,-6.5
40000,14.0,-6.23
23000,36.0,-5.76
17120,83.0,-6.89
11096,12.0,-5.91
14245,42.0,-6.12
24630,63.0,-5.83
12893,36.0,-6.34
24345,57.0,-6.24
33421,67.0,-5.79
3459,1289.0,-10.7
3605,1124.0,-10.81
3615,1635.0,-11.33
3399,1486.0,-10.92
3610,1522.0,-10.86
3553,1324.0,-11.03
4015,1534.0,-11.39
3625,876.0,-10.25
6850,1467.0,-10.07
3780,1324.0,-10.7
3323,0.0912,17.16
3531,0.0976,19.94
3218,0.11,20.02
3146,0.0932,16.92
3511,0.109,17.12
3225,0.121,19.63
2935,0.0932,16.88
2861,0.0899,16.71
2856,0.0782,19.56
2731,0.0856,18.09
3095,0.492,10.87
3607,0.38,10.34
3100,0.31,11.17
2989,0.34,13.12
3542,0.62,14.23
3243,0.73,14.75
3091,0.24,11.43
3598,0.56,14.26
3324,0.34,12.23
3541,0.256,14.33
13420,0.00981,13.67
21020,0.0112,11.52
18290,0.00934,12.78
14520,0.00972,11.92
11900,0.00898,11.38
8924,0.00879,14.87
12912,0.00945,12.83
14732,0.00892,12.89
7723,0.00878,14.81
12984,0.00996,11.23
29560,6.02,-4.01
8945,2.487,0.12
14060,5.745,-2.04
16390,5.68,-3.32
25070,5.92,-3.98
28700,6.4,-4.09
26140,5.49,-3.8
20120,6.78,-3.4
13023,6.21,-1.38
37800,6.86,-4.56
25390,57.0,-5.92
11567,36.0,-6.245
12675,83.0,-5.62
5752,97.0,-6.63
8927,35.0,-7.34
7282,24.0,-7.22
19923,73.0,-5.69
26373,39.0,-5.83
17383,30.0,-6.09
9373,24.0,-5.99
3570,1480.0,-7.58
3500,1420.0,-8.18
4287,1315.0,-9.2
26000,1679.0,-9.1
3600,1190.0,-7.89
3614,1553.0,-7.71
18000,1045.0,-8.3
11000,1779.0,-9.9
12100,708.9,-7.84
24490,1134.5,-8.24
2831,0.0915,16.21
2914,0.116,18.39
3419,0.126,17.56
3218,0.0987,17.34
3453,0.0773,17.08
2889,0.0973,16.93
2968,0.119,17.45
3484,0.0998,16.67
2778,0.112,19.45
3523,0.129,16.35
3462,0.148,11.47
3257,0.46,10.73
2994,0.28,13.45
3212,0.378,12.854
3523,0.319,12.43
3598,0.67,13.667
3142,0.258,14.12
3496,0.336,14.94
3324,0.471,12.78
3463,0.675,14.776
16790,0.0121,12.87
15680,0.0114,11.92
14982,0.0113,12.23
13340,0.0116,12.9
18340,0.0124,11.22
19920,0.0142,11.34
24020,0.0127,10.55
23092,0.0104,10.18
17920,0.0106,11.66
19360,0.00998,11.62
22350,6.36,-3.67
10012,5.856,0.013
13089,5.992,-0.12
22012,6.64,-2.55
34190,6.39,-4.57
32460,6.237,-4.36
9320,1.91,1.236
19400,6.03,-3.08
17140,5.653,-2.64
8250,1.93,-0.98
23678,35.0,-6.27
12749,76.0,-7.02
9383,98.0,-6.98
23440,81.0,-5.975
16787,62.0,-6.35
18734,46.0,-7.45
9892,80.0,-7.262
10930,25.0,-6.224
23095,86.0,-5.905
21738,92.0,-7.346
24145,1494.0,-8.84
38234,1356.0,-9.29
32489,1948.5,-10.84
27739,1252.0,-7.59
21904,1130.0,-7.67
38940,1356.0,-9.93
30839,1194.0,-10.63
8829,1423.0,-10.73
9235,1112.0,-11.23
37882,1783.0,-7.8
