file,r_avg,g_avg,b_avg
00126.png,118.698,100.774,99.15
0065.png,95.676,62.844,101.232
0071.png,106.256,102.552,97.6
00132.png,132.876,96.642,86.988
0059.png,105.326,74.384,100.042
00250.png,16.79,13.644,28.848
00244.png,115.814,36.91,35.768
00245.png,44.494,30.374,56.826
00251.png,137.108,42.214,39.632
0058.png,114.28,113.604,113.716
00133.png,90.502,59.36,54.986
0070.png,102.266,60.684,33.03
0064.png,84.05,51.354,78.426
00127.png,105.402,89.058,88.988
0099.png,146.088,104.206,101.866
0072.png,139.954,101.63,122.442
00131.png,100.786,75.682,72.532
00125.png,70.036,50.676,77.998
0066.png,31.804,15.576,22.718
00119.png,64.056,38.946,40.086
00247.png,17.104,7.528,8.482
00253.png,137.756,131.294,101.316
00252.png,113.118,36.698,35.498
00246.png,52.736,34.584,61.144
00118.png,77.378,50.504,52.974
0067.png,40.254,18.276,25.622
00124.png,81.5,54.978,79.382
00130.png,138.32,103.222,92.734
0073.png,131.574,79.518,70.038
0098.png,127.892,95.782,98.846
0088.png,163.624,151.934,151.206
00108.png,136.782,92.746,92.026
0077.png,120.17,118.91,128.07
00134.png,106.312,70.162,64.374
00120.png,97.188,53.51,44.378
0063.png,108.028,91.878,76.006
00242.png,205.688,160.836,107.222
00256.png,172.918,91.214,33.58
00257.png,115.146,62.684,43.898
00243.png,105.724,25.956,16.442
0062.png,149.132,126.25,98.102
00121.png,61.32,35.092,34.938
00135.png,153.322,104.06,87.258
0076.png,108.194,90.488,94.32
00109.png,121.728,75.134,72.812
0089.png,178.832,139.288,92.976
0048.png,170.684,161.586,163.622
00123.png,69.146,55.37,82.844
0060.png,116.844,79.55,100.288
0074.png,137.942,96.352,85.236
00137.png,53.354,30.17,30.902
00255.png,205.4,137.186,55.952
00241.png,95.818,19.408,12.206
00240.png,98.012,25.176,2.132
00254.png,167.014,98.608,13.44
00136.png,105.544,68.664,63.246
0075.png,158.206,130.044,124.362
0061.png,152.06,145.262,128.014
00122.png,60.894,56.444,88.292
0049.png,153.95,146.338,131.864
00186.png,90.954,74.052,88.392
00192.png,136.606,108.522,117.85
0006.png,69.852,42.944,34.184
00145.png,61.128,48.022,50.242
00151.png,107.352,91.77,100.356
0012.png,173.62,141.108,135.314
00179.png,39.41,32.32,36.932
00233.png,72.238,58.67,37.118
00227.png,51.428,43.774,59.152
00226.png,73.698,59.786,78.33
00232.png,68.522,58.452,52.314
00178.png,55.322,40.086,42.516
0013.png,48.832,34.296,36.306
00150.png,100.052,88.214,98.87
00144.png,66.96,49.714,49.816
0007.png,90.92,54.212,34.748
00193.png,103.51,80.192,90.376
00187.png,105.998,99.268,127.306
00191.png,74.538,64.192,82.224
00185.png,69.7,61.802,80.66
00152.png,79.766,83.628,105.502
0011.png,104.256,82.664,92.378
0005.png,133.444,90.57,82.598
00146.png,107.718,95.276,89.372
0039.png,125.676,116.672,105.566
00224.png,67.712,59.328,81.234
00230.png,108.89,95.474,87.916
00218.png,133.41,104.156,102.688
00219.png,89.992,80.444,78.274
00231.png,69.08,62.484,62.316
00225.png,84.586,74.616,101.948
0038.png,75.008,66.142,64.206
00147.png,119.832,105.646,96.718
0004.png,150.776,107.268,98.746
0010.png,30.162,15.392,12.54
00153.png,85.39,88.336,108.752
00184.png,100.588,84.246,101.172
00190.png,96.45,75.572,88.648
00194.png,89.948,70.486,81.408
00180.png,63.922,47.208,48.588
0028.png,118.82,81.202,71.83
00157.png,74.818,60.618,67.996
0014.png,111.366,95.186,84.828
00143.png,82.386,65.796,65.942
00209.png,130.102,74.858,66.804
00221.png,149.32,100.302,87.244
00235.png,94.23,76.042,62.816
00234.png,92.812,75.168,63.986
00220.png,139.36,94.872,86.41
00208.png,129.038,70.026,59.53
00142.png,73.444,57.66,58.516
0001.png,125.746,112.896,89.836
0015.png,133.732,120.142,111.686
00156.png,71.036,59.176,68.344
0029.png,186.596,156.566,133.32
00181.png,47.796,37.014,38.718
00195.png,38.514,32.802,45.822
00183.png,130.078,112.646,135.532
00197.png,23.048,17.622,24.628
00168.png,70.868,50.86,48.298
0003.png,130.916,101.434,97.47
